query,recipe_id
carrot,35169
carrot,35171
carrot,47893
carrot,36259
carrot,47233
carrot,46993
carrot,47269
carrot,46879
carrot,47070
carrot,54419
carrot,47167
carrot,35168
carrot,3a6137
carrot,055aae
carrot,49640
carrot,aad814
carrot,46876
carrot,9cf486
carrot,34225f
carrot,36520
carrot,35109
carrot,46923
carrot,47289
broccoli,47923
broccoli,35196
broccoli,055aae
broccoli,43eadb
broccoli,46976
broccoli,16580
broccoli,bc5311
broccoli,36844
broccoli,94f563
broccoli,72faad
broccoli,47869
broccoli,37871
broccoli,48979
broccoli,13674
broccoli,12170e
broccoli,35845
broccoli,4755
broccoli,4795
broccoli,12302
broccoli,423fc1
broccoli,14546
broccoli,26916
broccoli,3645
broccoli,588e5c
broccoli,3e0262
broccoli,4cf9de
asparagus,5cc4a8
asparagus,d18229
asparagus,35671
asparagus,46944
asparagus,35087
asparagus,bc5311
asparagus,35729
asparagus,9b0e8c
asparagus,47984
asparagus,35731
asparagus,7056
asparagus,47278
asparagus,35584
asparagus,36841
asparagus,504bb7
asparagus,2faf54
asparagus,811e02
asparagus,18633
asparagus,39878
asparagus,54394
asparagus,47871
asparagus,46869
asparagus,49331
asparagus,35734
asparagus,13663
asparagus,524e56
asparagus,36159
asparagus,15443
asparagus,48066
cauliflower,35540
cauliflower,47269
cauliflower,41470
cauliflower,36847
cauliflower,94e1a4
cauliflower,41460
cauliflower,16580
cauliflower,ff94b3
cauliflower,26911
cauliflower,35262
cauliflower,03fe80
cauliflower,48014
cauliflower,54294
cauliflower,49436
cauliflower,35539
cauliflower,35317
cauliflower,423fc1
cauliflower,1ef4aa
cauliflower,49537
cauliflower,c26bfe
cauliflower,988064
cauliflower,7cad96
cauliflower,588e5c
cauliflower,47872
cauliflower,a32dab
cauliflower,54281
cauliflower,bdf648
corn,36259
corn,47064
corn,fda812
corn,fe49aa
corn,28924
corn,8a4c0f
corn,46985
corn,46987
corn,54455
corn,47297
corn,46949
corn,26057
corn,4386
corn,31074
corn,35628
corn,46972
corn,47946
corn,10546
corn,36808
corn,49408
corn,606bf4
corn,48921
corn,36016
corn,35236
corn,47014
corn,35294
cucumber,47334
cucumber,3a6137
cucumber,46923
cucumber,3633b2
cucumber,39635
cucumber,46944
cucumber,baaa28
cucumber,54375
cucumber,36357
cucumber,46974
cucumber,36561
cucumber,35511
cucumber,47985
cucumber,ee6fc1
cucumber,47034
cucumber,47606
cucumber,99237a
cucumber,36924
cucumber,46869
cucumber,a551a8
cucumber,35271
cucumber,37909
cucumber,39062
cucumber,49308
green pepper,29159
green pepper,46996
green pepper,16553
green pepper,35477
green pepper,47064
green pepper,7fcd69
green pepper,ccaf14
green pepper,4386
green pepper,2ec050
green pepper,47146
green pepper,12970
green pepper,36536
green pepper,9307
green pepper,6260
green pepper,0fb8f4
green pepper,29102
green pepper,28724
green pepper,46899
green pepper,46892
green pepper,7186
green pepper,32496
green pepper,36887
green pepper,5123
green pepper,8960
green pepper,47092
green pepper,7542
green pepper,33863
green pepper,33891
lettuce,54400
lettuce,ddb388
lettuce,9eb23b
lettuce,46949
lettuce,28161
lettuce,35629
lettuce,47106
lettuce,35119
lettuce,35109
lettuce,35624
lettuce,46923
lettuce,339ce3
lettuce,48055
lettuce,3633b2
lettuce,35096
lettuce,46873
lettuce,12970
lettuce,36794
lettuce,46974
lettuce,35345
lettuce,694798
lettuce,f852ec
lettuce,35956
lettuce,35170
lettuce,37128
lettuce,35874
mushrooms,47078
mushrooms,46953
mushrooms,7fcd69
mushrooms,28878
mushrooms,47036
mushrooms,47007
mushrooms,6fab1c
mushrooms,3618e0
mushrooms,3763
mushrooms,b5acb9
mushrooms,36453
mushrooms,27464
mushrooms,46870
mushrooms,35671
mushrooms,46944
mushrooms,bc5311
mushrooms,7294
mushrooms,35548
mushrooms,2559
mushrooms,47881
mushrooms,7202
mushrooms,35546
mushrooms,36794
mushrooms,7faef6
mushrooms,14825
mushrooms,23494
onion,35169
onion,35107
onion,35171
onion,35437
onion,16553
onion,36259
onion,690
onion,29159
onion,46908
onion,46996
onion,47032
onion,47078
onion,47166
onion,47194
onion,47233
onion,686088
onion,54400
onion,54427
onion,12360
onion,46946
onion,46993
onion,47084
onion,35540
onion,46953
onion,35404
onion,35081
potato,35169
potato,36665
potato,36259
potato,690
potato,47319
potato,a75af6
potato,31372
potato,46879
potato,38773
potato,35109
potato,36422
potato,54454
potato,6fab1c
potato,316ca9
potato,3763
potato,36720
potato,47612
potato,28921
potato,11264
potato,36175
potato,e1e561
potato,0c147f
potato,f2fb49
potato,38280
potato,8ead9e
pumpkin,36665
pumpkin,166dae
pumpkin,54463
pumpkin,35499
pumpkin,46983
pumpkin,54460
pumpkin,918d41
pumpkin,47197
pumpkin,d6fb11
pumpkin,25630
pumpkin,54466
pumpkin,46979
pumpkin,8d9f72
pumpkin,47946
pumpkin,37079
pumpkin,32779
pumpkin,47979
pumpkin,47857
pumpkin,36785
pumpkin,3fe0ed
pumpkin,25585
pumpkin,37045
pumpkin,35549
pumpkin,36784
pumpkin,1feda1
pumpkin,54327
red pepper,46889
red pepper,0d8013
red pepper,35218
red pepper,5a9584
red pepper,f1b102
red pepper,e02c92
red pepper,a2e45b
red pepper,65f621
red pepper,c56351
red pepper,47043
red pepper,6511ed
red pepper,c374f5
red pepper,44e190
red pepper,48881
red pepper,ae0824
red pepper,46f54e
red pepper,c3614e
red pepper,50841
red pepper,8bfe9e
red pepper,54429
red pepper,abf56a
red pepper,2e3b72
red pepper,50886
red pepper,726a33
red pepper,feec1d
red pepper,e3d2f0
tomato,29159
tomato,36718
tomato,46996
tomato,47194
tomato,47233
tomato,8f3e73
tomato,54400
tomato,54427
tomato,e9e277
tomato,47064
tomato,35186
tomato,ddb388
tomato,34678
tomato,54419
tomato,46884
tomato,28924
tomato,19d885
tomato,47275
tomato,47023
tomato,47019
tomato,26417
tomato,28161
tomato,49640
tomato,46933
tomato,4c833e
tomato,35629
beetroot,3f4dd4
beetroot,41fd92
beetroot,18091f
beetroot,5cdf25
beetroot,f9fee1
beetroot,dfd7c1
beetroot,6449f1
beetroot,8713bb
beetroot,7bd7fd
beetroot,cd98da
beetroot,bb682c
beetroot,3506
beetroot,e598cc
beetroot,0d1445
beetroot,526695
beetroot,4d0551
beetroot,c30d4f
beetroot,3d971a
beetroot,eaab5b
beetroot,ae7e16
beetroot,6bacf5
beetroot,d8a72f
beetroot,f0f556
beetroot,af73eb
beetroot,352c52
brussel sprouts,26879
brussel sprouts,36845
brussel sprouts,47880
brussel sprouts,7521ce
brussel sprouts,60c23a
brussel sprouts,38468
brussel sprouts,48940
brussel sprouts,381365
brussel sprouts,39960
brussel sprouts,38362
brussel sprouts,501cf4
brussel sprouts,39634
brussel sprouts,38728
brussel sprouts,dfece5
brussel sprouts,39201
brussel sprouts,52a0dc
brussel sprouts,6a0b66
brussel sprouts,983c2a
brussel sprouts,17b109
brussel sprouts,acaca4
brussel sprouts,78714a
brussel sprouts,35855
brussel sprouts,16714
brussel sprouts,ec5e46
brussel sprouts,f63af9
brussel sprouts,af9a88
brussel sprouts,40193
peas,36259
peas,46946
peas,47090
peas,38773
peas,5cc4a8
peas,47106
peas,47609
peas,46922
peas,3763
peas,47067
peas,46942
peas,47865
peas,39584
peas,30237
peas,6b95ab
peas,35929
peas,48017
peas,39214
peas,48976
peas,39926
peas,35474
peas,14546
peas,33863
peas,9b4a4a
peas,679921
peas,a8bfe7
zucchini,4327
zucchini,54419
zucchini,23350
zucchini,35394
zucchini,47902
zucchini,36011
zucchini,47036
zucchini,34963
zucchini,339ce3
zucchini,5536
zucchini,37151
zucchini,47775
zucchini,17551
zucchini,54320
zucchini,47011
zucchini,37122
zucchini,54347
zucchini,37155
zucchini,47041
zucchini,57793e
zucchini,32219
zucchini,54670
zucchini,36727
zucchini,db83f1
zucchini,12a188
zucchini,37379
zucchini,47100
zucchini,35199
radish,36767
radish,47990
radish,56c0e4
radish,50480
radish,6b3e05
radish,37909
radish,39062
radish,35669
radish,38810
radish,48991
radish,62020f
radish,35392
radish,11882e
radish,dd55b3
radish,47870
radish,49384
radish,33914
radish,9f7d11
radish,37127
radish,fe922c
radish,0e9d42
radish,abc3b1
radish,47878
sweet potato,54a480
sweet potato,e4f543
sweet potato,ab24eb
sweet potato,47941
sweet potato,a15e58
sweet potato,33a2c6
sweet potato,6eeec1
sweet potato,a37e77
sweet potato,49412
sweet potato,6fa6ec
sweet potato,39393
sweet potato,7fce45
sweet potato,31a971
sweet potato,31723
sweet potato,5712
sweet potato,c125ea
sweet potato,ae88c6
sweet potato,17412
sweet potato,2629
sweet potato,42ddec
sweet potato,d6f97f
sweet potato,7ccd9f
sweet potato,c87335
sweet potato,dc81a7
sweet potato,2630
sweet potato,ff8d4f
sweet potato,39699
sweet potato,3a0332
artichoke,316ca9
artichoke,46889
artichoke,47196
artichoke,40d135
artichoke,49331
artichoke,35730
artichoke,47623
artichoke,54513
artichoke,15233
artichoke,94941e
artichoke,20866
artichoke,87771f
artichoke,61318c
artichoke,35533
artichoke,9ed713
artichoke,38117
artichoke,94c549
artichoke,36516
artichoke,a10883
artichoke,7af965
artichoke,47131
artichoke,1709
artichoke,54459
artichoke,ff70d8
artichoke,28422
leek,d18229
leek,47732
leek,35087
leek,38280
leek,36770
leek,35262
leek,2c910e
leek,0c8922
leek,47990
leek,6b95ab
leek,afa6d1
leek,f0ef65
leek,a8bfe7
leek,49331
leek,39941
leek,f823b2
leek,8c4ad4
leek,37000
leek,48094
leek,2c1288
leek,9c7479
leek,9782d5
leek,c8d9cf
leek,38649
leek,3756
leek,49844
leek,48688
cabbage,47334
cabbage,3a6137
cabbage,13344
cabbage,36767
cabbage,35236
cabbage,47021
cabbage,48667
cabbage,46931
cabbage,279062
cabbage,37478
cabbage,30937
cabbage,36104
cabbage,48017
cabbage,35131
cabbage,36506
cabbage,35823
cabbage,13271
cabbage,9554
cabbage,15536
cabbage,16157
cabbage,48306
cabbage,35261
cabbage,36320
cabbage,35078
cabbage,5377
cabbage,47169
cabbage,12873
celery,35169
celery,35171
celery,47269
celery,4851
celery,46879
celery,47070
celery,35069
celery,54419
celery,47167
celery,35168
celery,49640
celery,aad814
celery,4386
celery,35109
celery,35136
celery,c826a0
celery,48055
celery,d18229
celery,5053
celery,47732
celery,36611
celery,28921
celery,46873
chili,35368
chili,690
chili,16553
chili,35404
chili,54419
chili,28924
chili,19d885
chili,1e8916
chili,48364
chili,46949
chili,46874
chili,46992
chili,35479
chili,4386
chili,31917
chili,35616
chili,39943
chili,36767
chili,35096
chili,47111
chili,47146
chili,d740fd
chili,47008
chili,12970
chili,35294
chili,36770
chili,35910
chili,47039
garlic,47893
garlic,47923
garlic,690
garlic,47194
garlic,a75af6
garlic,46946
garlic,35404
garlic,e9e277
garlic,31372
garlic,15661
garlic,02aaf0
garlic,46893
garlic,46919
garlic,47172
garlic,4500
garlic,19d885
garlic,47275
garlic,26417
garlic,26057
garlic,49640
garlic,46933
garlic,aad814
garlic,47069
garlic,47036
garlic,4386
basil,47025
basil,47923
basil,47032
basil,47233
basil,8f3e73
basil,99b1c6
basil,4851
basil,35186
basil,34678
basil,4500
basil,47023
basil,2495
basil,46943
basil,47019
basil,48364
basil,36339
basil,5cc4a8
basil,4c833e
basil,4386
basil,46923
basil,54392
basil,35852
basil,2ec050
basil,35401
basil,35616
basil,29769
basil,46932
basil,3633b2
coriander,48364
coriander,2fdcab
coriander,47862
coriander,47732
coriander,6132fc
coriander,8ead9e
coriander,36989
coriander,379b00
coriander,bab8b4
coriander,236803
coriander,47ff2e
coriander,2166ae
coriander,32219
coriander,1db784
coriander,b66d90
coriander,2b7564
coriander,12170e
coriander,36449
coriander,2fdc23
coriander,69c809
coriander,f37a75
coriander,ee6fc1
parsley,35437
parsley,47078
parsley,47194
parsley,8f3e73
parsley,e9e277
parsley,47269
parsley,46879
parsley,47101
parsley,35600
parsley,2495
parsley,47167
parsley,35394
parsley,49640
parsley,46874
parsley,47069
parsley,47036
parsley,c8da0f
parsley,46923
parsley,1cea66
parsley,46938
parsley,14238
parsley,47234
parsley,47296
parsley,47732
parsley,955d9e
parsley,46889
dill,ddb388
dill,35600
dill,35394
dill,47902
dill,47106
dill,c5effa
dill,35671
dill,47320
dill,47775
dill,47318
dill,47990
dill,a2c952
dill,35584
dill,47606
dill,47031
dill,99237a
dill,35823
dill,47904
dill,ff50d3
dill,47910
dill,35271
dill,3e0262
dill,35243
dill,30449
dill,35371
rosemary,e7fdb2
rosemary,47319
rosemary,46906
rosemary,47899
rosemary,46993
rosemary,47769
rosemary,49640
rosemary,aad814
rosemary,54454
rosemary,c826a0
rosemary,316ca9
rosemary,35779
rosemary,4f0272
rosemary,47857
rosemary,36611
rosemary,bf7efb
rosemary,35917
rosemary,35758
rosemary,f2fb49
rosemary,47190
rosemary,36398
rosemary,2c910e
rosemary,27036
oregano,47899
oregano,47233
oregano,41470
oregano,4500
oregano,35168
oregano,49640
oregano,46992
oregano,c8da0f
oregano,4386
oregano,13344
oregano,31917
oregano,36223
oregano,14238
oregano,35401
oregano,47862
oregano,339ce3
oregano,36767
oregano,bf7efb
oregano,1b460b
oregano,b81144
oregano,36536
oregano,9307
oregano,7294
oregano,47318
oregano,39414
oregano,baaa28
oregano,54375
cinnamon,166dae
cinnamon,47692
cinnamon,32745
cinnamon,2803
cinnamon,4327
cinnamon,9630
cinnamon,47235
cinnamon,47335
cinnamon,35499
cinnamon,32c865
cinnamon,46983
cinnamon,36482
cinnamon,918d41
cinnamon,8a4c0f
cinnamon,dd18b3
cinnamon,3713d0
cinnamon,46970
cinnamon,29382
cinnamon,29426
cinnamon,10102
cinnamon,23350
cinnamon,47139
cinnamon,29613
cinnamon,1e8916
cinnamon,48364
cinnamon,47197
cinnamon,47710
cinnamon,47143
saffron,47641
saffron,2fdc23
saffron,48976
saffron,48052
saffron,f439a0
saffron,6eb64c
saffron,12240
saffron,7064
saffron,e02c92
saffron,5d5da1
saffron,6dc7d3
saffron,ef79df
saffron,18887
saffron,5ae9e1
saffron,b762a1
saffron,679537
saffron,026098
saffron,48989
saffron,0e078c
saffron,006b78
saffron,aa7e01
saffron,37f6fc
saffron,35825
saffron,17412
saffron,49684
green bean,39486
green bean,f27cad
green bean,1aa1f7
green bean,38401
green bean,db1329
green bean,43b6ba
green bean,3710
green bean,40150
green bean,060e79
green bean,37119
green bean,8b5010
green bean,3073b7
green bean,9c9716
green bean,38539
green bean,2aaab8
green bean,d0aecf
green bean,afc1d5
green bean,39752
green bean,46f9b4
green bean,4322f0
green bean,238a75
green bean,a7ac9c
green bean,6a374c
green bean,32182
bean,54400
bean,16553
bean,690
bean,47084
bean,47064
bean,54419
bean,28924
bean,35168
bean,48364
bean,28161
bean,26057
bean,54438
bean,46992
bean,4386
bean,26354
bean,35628
bean,15004
bean,36808
bean,39943
bean,97486e
bean,47700
bean,35626
bean,606bf4
bean,12970
bean,46944
bean,46941
chickpea,54400
chickpea,54438
chickpea,1cea66
chickpea,47851
chickpea,6132fc
chickpea,379b00
chickpea,48034
chickpea,30237
chickpea,b66d90
chickpea,12170e
chickpea,99237a
chickpea,49834
